time,sn,VOCs_1,VOCs_2
2021-01-13 17:12:27,BD00-02B6,17.6,6553.5
2021-01-13 17:12:27,B616-1010,2346.4,2111.2
2021-01-13 17:12:27,B616-102B,1548.8,1597.1
2021-01-13 17:12:27,BD00-02F9,6553.5,6553.5
2021-01-13 17:12:27,C216-100C,952.5,1228.7
2021-01-13 17:12:27,B616-106B,873.1,1291.2
2021-01-13 17:12:27,B616-1022,1862.7,1128.6
2021-01-13 17:12:27,BD00-02B1,20.6,6553.5
2021-01-13 17:12:27,B616-104F,951.5,1019.7
2021-01-13 17:12:27,F000-F173,1.6,6553.5
2021-01-13 17:12:27,BD00-02A6,18.3,6553.5
2021-01-13 17:12:27,B616-101F,2042.4,2332.4
2021-01-13 17:12:27,B616-104A,1331.9,8.1
2021-01-13 17:12:27,B616-1014,1868.7,1807.4
2021-01-13 17:12:27,BD00-02A2,13.9,8.5
2021-01-13 17:12:27,BD00-02A7,22.0,6553.5
2021-01-13 17:12:27,B616-1048,1723.7,1402.8
2021-01-13 17:12:27,B616-1042,1873.7,1932.1
2021-01-13 17:12:27,B616-1043,707.2,1045.2
2021-01-13 17:12:27,B616-1036,1951.6,2185.2
2021-01-13 17:12:27,B616-1040,45.4,28.9
2021-01-13 17:12:27,BD00-02AA,24.6,6553.5
2021-01-13 17:12:28,BD00-02A1,463.3,6553.5
2021-01-13 17:12:28,B616-106C,805.2,893.5
2021-01-13 17:12:28,BD00-02B7,20.4,6553.5
2021-01-13 17:12:28,B616-1035,1470.0,1920.0
2021-01-13 17:12:28,BD00-02B4,19.5,6553.5
2021-01-13 17:12:28,F000-F406,1259.5,1365.3
2021-01-13 17:12:28,F000-F367,1239.3,11.0
2021-01-13 17:12:28,BD00-02B5,19.3,6553.5
2021-01-13 17:12:28,C225-0005,6553.5,6553.5
2021-01-13 17:12:28,B616-1029,2243.2,1834.9
2021-01-13 17:12:28,C216-100B,908.0,979.0
2021-01-13 17:12:28,B616-100E,6553.5,6553.5
2021-01-13 17:12:28,BD00-02A3,411.0,6553.5
2021-01-13 17:12:28,B616-1015,1667.1,1256.3
2021-01-13 17:12:28,B616-106D,1029.8,999.2
2021-01-13 17:12:28,BD00-02B8,23.8,6553.5
